"category_id","category_name","sub_category","category_description","promotion_id"
1,"Electronics","heater","Electronics item","DC10"
1,"Electronics","Refridgerator","Electronics item","DC10"
1,"Electronics","microwave","Electronics item","DC10"
1,"Electronics","DVD","Electronics item","DC10"
1,"Electronics","Mobile phone","Electronics item","DC10"
2,"Clothing","tops","clothing item"," "
2,"Clothing","socks","clothing item"," "
2,"Clothing","shirts","clothing item"," "
2,"Clothing","ties","clothing item"," "
2,"Clothing","sarees","clothing item"," "
2,"Clothing","womens wear","clothing item"," "
3,"Home & Garden","carpets","home items","DC20"
3,"Home & Garden","flowers","home items","DC20"
3,"Home & Garden","bins","home items","DC20"
3,"Home & Garden","air freshners","home items","DC20"
3,"Home & Garden","pots","home items","DC20"
3,"Home & Garden","instant heater","home items","DC20"
3,"Home & Garden","mops","home items","DC20"
4,"Furniture","tables","Furniture items","DC25"
4,"Furniture","beds","Furniture items","DC25"
4,"Furniture","desks","Furniture items","DC25"
4,"Furniture","sofas","Furniture items","DC25"
4,"Furniture","bookshelves","Furniture items","DC25"
4,"Furniture","cabinets","Furniture items","DC25"
4,"Furniture","chairs","Furniture items","DC25"
5,"Kitchen_Appliances","juicer, mixer","Kitchen items"," "
5,"Kitchen_Appliances","blender","Kitchen items"," "
5,"Kitchen_Appliances","toaster","Kitchen items"," "
5,"Kitchen_Appliances","coffee maker","Kitchen items"," "
5,"Kitchen_Appliances","food processor","Kitchen items"," "
5,"Kitchen_Appliances","microwave","Kitchen items"," "
6,"Sports_Outdoor","camping gear","Sports items"," "
6,"Sports_Outdoor","bicycles","Sports items"," "
6,"Sports_Outdoor","fishing gear","Sports items"," "
6,"Sports_Outdoor","hiking gear","Sports items"," "
6,"Sports_Outdoor","fitness equipment","Sports items"," "
7,"Beauty_Cosmetics","haircare products","Beauty products"," "
7,"Beauty_Cosmetics","makeup","Beauty products"," "
7,"Beauty_Cosmetics","beauty accessories","Beauty products"," "
7,"Beauty_Cosmetics","grooming tools","Beauty products"," "
7,"Beauty_Cosmetics","nail care","Beauty products"," "
7,"Beauty_Cosmetics","skincare products","Beauty products"," "
7,"Beauty_Cosmetics","perfumes","Beauty products"," "
8,"Toys_Games","dolls","Games","DC15"
8,"Toys_Games","outdoor play equipment","Games","DC15"
8,"Toys_Games","puzzles","Games","DC15"
8,"Toys_Games","building blocks","Games","DC15"
8,"Toys_Games","action figures","Games","DC15"
9,"Automotive","tools","vehicle parts","DC30"
9,"Automotive","car accessories","vehicle parts","DC30"
9,"Automotive","maintenance supplies","vehicle parts","DC30"
9,"Automotive","interior accessories","vehicle parts","DC30"
9,"Automotive","exterior accessories","vehicle parts","DC30"
9,"Automotive","car electronics","vehicle parts","DC30"
9,"Automotive","car care products","vehicle parts","DC30"
10,"Pet_Supplies","beds and furniture","pet supplies"," "
10,"Pet_Supplies","collars and leashes","pet supplies"," "
10,"Pet_Supplies","pet food","pet supplies"," "
10,"Pet_Supplies","carriers and travel products","pet supplies"," "
10,"Pet_Supplies","pet grooming supplies","pet supplies"," "
